"Name of commune" Residents "Change in %" "Population density per km²" "Foreign nationals in %" "0-19 years" "20-64 years" "65 years or over" "Crude marriage rate" "Crude divorce rate" "Crude birth rate" "Crude mortality rate" "Private households" "Size of households in persons" "Total surface area in km2" "Settlement and urban area in %" "Change in ha" "Agricultural area in %" "Change in ha" "Wooded area in %" "Unproductive area in %" "Employed total" "Primary sector" "Secondary sector" "Tertiary sector" "Business establishments total" "Primary sector" "Secondary sector" "Tertiary sector" "Dwelling vacancy rate" "New housing units per 1000 residents" "Social assistance rate" "FDP/PLR 2)" CVP SP SVP EVP/CSP GLP BDP PdA/Sol. GPS "Small right-wing parties"
Rafz 4,098 383 1.8 1.3 0.5 18.0 23.3 62.2 14.5 10.7 16.7 49.8 33.4 0.1 1,338 198 487 653 240 34 51 155 7.8 1.01 0.6 6.6 2.9 18.1 37.1 2.9 11.3 7.4 0.0 5.3 6.0 2.4     
Rorbas 2,501 566 6.9 3.8 1.4 25.1 23.2 65.7 11.2 4.5 15.5 34.5 46.9 3.1 453 29 95 329 145 9 28 108 5.2 0.90 3.0 6.9 3.5 19.3 36.7 5.7 10.7 4.0 0.0 6.6 2.9 3.5     
Wallisellen 14,188 2,207 3.9 2.6 0.7 28.7 18.8 64.5 16.7 6.5 56.7 21.4 20.9 1.1 15,741 28 3,125 12,588 1,260 7 159 1,094 1.1 1.41 2.6 15.2 6.7 17.2 32.7 2.5 10.0 6.0 0.1 5.5 1.9 2.2     
Wasterkingen 547 138 -2.1 -2.5 0.5 7.9 19.4 66.2 14.4 3.9 7.4 49.2 43.1 0.3 69 26 13 30 34 10 4 20 0.0 0.00 0.5 5.0 2.6 14.6 51.2 1.4 12.4 4.9 0.1 5.8 0.6 1.4     
"Wil (ZH)" 1,298 145 0.9 -0.6 0.6 7.9 20.2 63.9 15.9 9.0 15.3 53.2 30.2 1.3 487 65 174 248 113 24 22 67 0.8 0.17 0.6 9.5 1.7 12.2 41.5 2.7 13.9 7.3 0.7 4.8 3.1 2.5     
Winkel 4,088 503 4.0 3.1 0.7 14.0 18.6 65.4 15.9 8.1 21.5 44.0 27.5 7.0 845 113 108 625 230 24 29 177 20.5 2.11 0.9 15.1 3.4 10.8 40.0 2.9 12.8 6.8 0.3 3.4 2.7 1.9     
Bachs 574 63 0.0 0.2 -0.5 9.4 17.2 66.4 16.4 9.2 6.0 49.0 44.5 0.5 263 83 54 126 56 25 5 26 5.2 0.00 1.2 3.5 2.3 10.9 52.5 1.4 6.9 3.9 0.0 5.8 10.1 2.7     
Boppelsen 1,276 322 -0.9 -3.2 1.2 11.4 24.3 60.0 15.8 3.9 12.5 40.3 45.9 1.3 213 70 16 127 82 14 10 58 0.8 0.90 0.2 14.7 5.0 11.3 37.1 5.8 11.8 4.4 0.0 5.8 3.2 0.9     
"Buchs (ZH)" 6,068 1,039 9.7 8.0 1.5 23.4 21.9 68.3 9.8 5.9 26.2 46.8 25.9 1.2 2,280 79 280 1,921 264 15 51 198 26.5 0.33 3.1 11.4 4.7 13.2 41.1 3.3 11.1 5.8 0.0 4.1 2.5 2.9     
Dällikon 3,733 830 3.4 2.2 0.7 27.4 21.4 64.3 14.2 4.5 23.9 42.4 32.6 1.1 2,740 64 1,482 1,195 267 10 87 170 5.4 0.36 3.3 9.5 4.0 11.1 46.1 1.7 13.1 5.5 0.0 5.0 1.2 2.8     
Dänikon 1,928 672 0.9 -1.4 1.9 27.0 22.6 67.4 10.0 2.8 19.3 47.1 31.4 2.1 456 53 251 152 105 9 25 71 0.0 0.25 0.8 7.6 4.8 12.8 43.5 0.9 15.0 7.3 0.1 2.8 3.1 2.2     
Dielsdorf 5,790 988 2.6 1.0 1.0 27.7 20.0 66.1 13.9 5.9 34.9 33.4 29.8 1.9 3,716 32 825 2,860 398 10 68 320 4.8 0.32 1.5 9.3 5.0 16.4 37.8 3.1 9.8 5.5 0.2 5.7 4.2 3.0     
Hüttikon 669 421 1.1 -5.0 1.1 13.2 18.5 66.8 14.6 1.6 15.0 48.8 36.3 0.0 125 19 69 37 38 8 8 22 12.0 0.70 0.2 8.9 5.4 8.1 60.3 0.8 6.9 3.0 0.0 4.3 1.7 0.6     
Neerach 3,029 502 1.8 0.6 0.9 12.5 17.2 67.7 15.1 6.0 19.2 61.8 5.7 13.3 638 52 81 505 243 21 24 198 5.3 1.65 0.8 12.1 3.5 9.3 50.2 3.2 8.5 5.6 0.0 2.7 3.8 1.2     
Niederglatt 4,580 1,269 -0.1 -1.1 0.6 24.9 21.8 64.5 13.7 3.6 33.1 55.3 7.8 3.9 1,344 34 487 823 221 11 39 171 2.4 0.64 1.3 10.0 4.4 12.6 47.8 1.7 8.4 4.7 0.1 3.9 4.5 2.0     
Niederhasli 8,723 773 2.1 0.7 1.3 24.1 22.9 63.9 13.3 11.3 21.6 55.3 21.2 1.9 2,308 74 776 1,458 423 30 80 313 11.9 0.66 3.1 7.7 7.8 14.6 42.3 1.7 10.2 5.5 0.1 4.7 3.7 1.8     
Niederweningen 2,760 403 1.1 -0.4 1.1 14.9 25.3 62.9 11.8 6.9 14.1 46.1 39.1 0.7 914 44 457 413 151 20 30 101 3.6 0.54 1.1 10.4 4.3 15.6 33.3 2.2 10.5 5.4 0.1 9.9 5.3 3.1     
Oberglatt 6,063 735 3.4 1.0 2.1 34.4 23.6 66.4 10.0 8.2 31.2 49.7 10.6 8.5 1,213 36 528 649 271 15 60 196 0.3 1.64 4.4 8.7 4.1 17.0 41.9 3.5 8.6 4.3 0.0 4.5 4.9 2.3     
Oberweningen 1,754 354 0.5 -0.7 1.3 18.8 22.2 65.6 12.1 4.9 10.7 33.8 55.3 0.2 273 36 63 174 86 11 15 60 1.1 1.08 1.4 9.0 4.1 11.8 41.2 1.6 11.1 7.8 0.6 4.1 6.9 1.9     
Otelfingen 2,755 384 12.2 10.0 2.0 18.9 23.6 62.3 14.2 7.2 25.1 36.8 37.2 1.0 2,875 76 425 2,374 245 11 48 186 14.2 0.51 1.9 9.0 4.4 12.6 40.6 4.1 12.8 6.8 0.3 5.3 2.2 1.9     
Regensberg 491 207 0.0 -3.1 3.1 18.9 22.4 61.7 15.9 2.4 9.2 34.0 55.5 1.3 180 21 4 155 37 6 3 28 0.0 0.75 0.0 13.8 5.5 16.8 28.9 2.3 12.0 2.8 0.0 6.2 6.8 4.9     
Regensdorf 16,975 1,161 2.6 1.4 1.1 33.2 21.4 63.3 15.3 14.6 31.9 42.1 23.8 2.3 10,555 59 2,639 7,857 1,178 22 205 951 2.7 0.48 4.2 8.5 5.1 15.7 45.7 2.0 9.3 5.4 0.0 4.4 1.2 2.6     
Rümlang 7,019 564 4.4 3.1 0.9 28.4 19.9 65.3 14.8 12.5 29.3 46.5 21.4 2.8 5,594 86 1,641 3,867 661 26 143 492 0.6 0.88 2.8 6.0 2.1 22.4 44.1 2.0 7.8 4.7 0.1 4.7 4.2 1.9     
Schleinikon 718 126 0.1 0.1 0.4 9.7 23.4 64.3 12.3 5.7 6.7 49.2 43.5 0.5 133 35 31 67 63 18 9 36 0.0 0.00 0.0 5.3 5.5 15.5 36.6 2.2 14.6 5.1 0.0 6.1 6.2 3.0     
Schöfflisdorf 1,375 343 1.5 0.1 0.3 15.8 21.4 60.4 18.3 4.0 11.5 42.4 45.9 0.3 367 22 61 284 90 9 18 63 1.5 0.49 1.8 10.7 3.6 8.8 42.9 3.2 9.0 7.2 0.0 8.5 4.6 1.4     
Stadel 2,015 156 1.9 1.9 0.1 11.7 21.9 63.2 14.9 12.9 11.3 57.3 30.5 0.9 550 140 121 289 153 38 26 89 8.4 1.51 1.3 9.8 2.8 7.5 51.9 1.6 8.9 6.5 0.2 4.7 4.7 1.4     
Steinmaur 3,279 349 3.2 0.9 1.2 21.7 18.4 64.4 17.2 9.5 13.7 56.4 29.3 0.6 740 168 200 372 216 32 40 144 2.4 2.17 1.8 9.5 3.7 12.9 37.4 2.2 11.9 5.5 0.1 5.2 9.4 2.1     
Weiach 1,083 113 9.7 8.6 0.6 15.3 19.7 66.8 13.6 9.6 11.9 34.6 50.1 3.4 227 32 94 102 78 14 19 45 2.8 1.22 0.0 9.7 3.7 10.3 51.9 4.8 5.9 7.1 0.0 2.3 3.5 0.7     
Bäretswil 4,934 222 2.6 1.5 1.0 10.6 22.2 61.8 16.0 22.2 8.6 49.6 39.3 2.5 1,390 163 358 869 377 69 77 231 2.6 0.36 1.4 7.1 2.9 10.0 39.7 10.8 8.8 7.0 0.1 5.5 6.0 2.1     
Bubikon 6,854 591 4.1 3.7 0.6 10.3 23.2 61.1 15.7 11.6 21.0 60.5 12.4 6.1 3,126 101 1,286 1,739 515 39 103 373 1.5 0.31 1.4 7.6 5.2 14.1 34.5 3.9 11.9 5.5 0.1 7.9 7.1 2.2     
